#,Person,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Fastest Solve,Country
42,Tymon Kolasiński,593,701,562,681,440,440,Poland
43,Tymon Kolasiński,526,440,569,674,500,440,Poland
44,Max Park,563,440,533,563,557,440,USA
45,Tymon Kolasiński,629,441,576,578,513,441,Poland
46,Lukas Shelley,851,442,724,852,683,442,Denmark
47,Firstian Fushada (符逢城),906,744,442,696,654,442,Indonesia
48,Max Park,442,597,716,555,550,442,USA
49,Luke Garrett,709,640,443,760,592,443,USA
50,Juliette Sébastien,444,994,978,879,917,444,France
51,Tymon Kolasiński,506,685,591,444,575,444,Poland
52,Varun Mohanraj,847,679,444,892,672,444,USA
53,Ruihang Xu (许瑞航),562,445,776,632,646,445,China
54,Luke Garrett,466,540,447,625,502,447,USA
55,Zeke Mackay,448,852,776,655,691,448,USA
56,Dylan Miller,698,448,712,594,DNF,448,USA
57,Patrick Ponce,752,560,765,449,832,449,USA
58,Max Park,569,530,581,512,450,450,USA
59,Max Park,462,478,568,519,450,450,USA
60,Brennen Lin,727,652,746,752,450,450,Canada
61,Tymon Kolasiński,678,451,611,665,746,451,Poland
62,Tymon Kolasiński,501,582,575,469,452,452,Poland
63,Matty Hiroto Inaba,452,488,659,643,796,452,USA
64,Kim Roger Høyland Larsen,820,714,745,453,651,453,Norway
65,Max Park,488,570,556,453,480,453,USA
66,Tymon Kolasiński,453,573,466,560,679,453,Poland
67,Luke Garrett,750,527,453,583,622,453,USA
68,Max Park,534,550,512,454,596,454,USA
69,Max Park,577,583,631,454,580,454,USA
70,Tymon Kolasiński,670,569,454,513,724,454,Poland
71,Luke Griesser,672,454,660,626,519,454,USA
72,Tymon Kolasiński,617,455,710,704,1018,455,Poland
73,Max Siauw,614,455,640,664,820,455,USA
74,Tymon Kolasiński,643,741,456,483,711,456,Poland
75,Luke Garrett,595,568,457,674,595,457,USA
76,Ruihang Xu (许瑞航),458,618,958,509,782,458,China
77,Tymon Kolasiński,651,578,552,458,557,458,Poland
78,SeungBeom Cho (조승범),800,733,728,972,459,459,Korea
79,Feliks Zemdegs,730,579,861,459,576,459,Australia
80,Jakub Kipa,1107,887,893,1179,459,459,Poland
81,Patrick Ponce,679,579,733,728,459,459,USA
82,Chris Mills,753,695,976,459,604,459,United Kingdom
83,Patrick Ponce,504,672,622,460,552,460,USA
84,Max Park,642,467,559,460,546,460,USA
85,Luke Garrett,521,502,461,538,657,461,USA
86,Tymon Kolasiński,461,566,559,479,611,461,Poland
87,Matty Hiroto Inaba,462,556,679,694,601,462,USA
88,Bill Wang,525,671,697,462,773,462,Canada
89,Leo Borromeo,640,585,510,462,761,462,Philippines
90,Tymon Kolasiński,625,474,586,979,463,463,Poland
91,Tymon Kolasiński,548,610,630,503,463,463,Poland
92,Richard Delacoste,778,658,782,463,769,463,Switzerland
93,Tanzer Balimtas,974,1263,949,809,464,464,USA
94,Tymon Kolasiński,516,504,464,619,609,464,Poland
95,Asher Kim-Magierek,645,730,464,689,604,464,USA
96,Patrick Ponce,513,704,600,464,561,464,USA
97,Max Park,658,675,614,619,465,465,USA
98,Feliks Zemdegs,624,641,634,630,465,465,Australia
99,Ruihang Xu (许瑞航),615,598,465,591,604,465,China
100,Robert Yomi Cadenas Nuñez,808,465,988,917,723,465,Peru
101,Max Siauw,466,765,567,651,972,466,USA
102,Max Park,597,466,572,518,668,466,USA
103,Kajetan Opach,708,868,572,1101,466,466,Poland
104,Feliks Zemdegs,716,504,467,655,499,467,Australia
105,Max Park,673,539,531,467,629,467,USA
106,Leo Borromeo,589,571,467,604,587,467,Philippines
107,Tymon Kolasiński,677,709,468,492,678,468,Poland
108,Brian Johnson,468,749,786,590,635,468,USA
109,Max Park,468,548,471,523,514,468,USA
110,Patrick Ponce,793,755,691,776,469,469,USA
111,Tymon Kolasiński,469,544,508,504,593,469,Poland
112,Max Park,504,469,621,592,489,469,USA
113,Max Park,470,593,685,730,579,470,USA
114,Max Park,589,528,470,614,555,470,USA
115,Tymon Kolasiński,470,619,520,505,522,470,Poland
116,Zayn Khanani,798,1117,795,854,471,471,USA
117,Zibo Xu (徐子博),782,472,DNF,867,839,472,China
118,Tymon Kolasiński,591,592,472,625,777,472,Poland
119,Max Park,634,528,571,472,619,472,USA
120,Matty Hiroto Inaba,651,697,545,472,598,472,USA
121,Feliks Zemdegs,666,730,793,696,473,473,Australia
122,Tymon Kolasiński,473,483,524,657,520,473,Poland
123,Matty Hiroto Inaba,473,568,824,602,820,473,USA
124,Mats Valk,645,652,474,1018,771,474,Netherlands
125,Tymon Kolasiński,793,474,706,596,587,474,Poland
126,Matty Hiroto Inaba,523,484,648,568,474,474,USA
127,Max Siauw,849,586,679,474,715,474,USA
128,Feliks Zemdegs,778,475,605,883,631,475,Australia
129,Feliks Zemdegs,556,809,651,475,660,475,Australia
130,Tymon Kolasiński,533,529,475,564,604,475,Poland
131,Tymon Kolasiński,562,545,591,475,545,475,Poland
132,Christopher Yen,690,824,827,896,475,475,USA
133,Luke Garrett,566,639,672,592,475,475,USA
134,Drew Brads,971,725,605,849,476,476,USA
135,Bill Wang,674,717,476,737,783,476,Canada
136,Aaron Huynh,918,476,733,755,617,476,USA
137,Max Park,626,622,726,476,611,476,USA
138,Matty Hiroto Inaba,601,612,476,705,492,476,USA
139,Max Park,562,501,476,595,672,476,USA
140,Tymon Kolasiński,546,677,606,720,476,476,Poland
141,Cornelius Dieckmann,734,477,713,972,805,477,Germany
142,Max Park,695,697,477,709,697,477,USA
143,Tymon Kolasiński,629,667,646,756,477,477,Poland
144,Luke Garrett,609,957,477,846,562,477,USA
145,Leo Borromeo,612,890,535,628,477,477,Philippines
146,Luke Garrett,477,740,571,582,1093,477,USA
147,Max Park,836,478,761,676,767,478,USA
148,Patrick Ponce,833,665,831,478,721,478,USA
149,Kai-Wen Wang (王楷文),599,979,478,704,649,478,Taiwan
150,Ben Zhao,769,1175,685,478,696,478,USA
151,Juliette Sébastien,478,625,970,719,689,478,France
152,Alexander Bashutkin,964,731,624,478,855,478,Russia
153,Max Park,573,614,596,479,502,479,USA
154,Max Park,592,519,479,549,483,479,USA
155,Sei Sugama (洲鎌星),751,480,713,967,868,480,Japan
156,Amos Nordman,856,963,838,911,480,480,Finland
157,Max Park,562,480,596,642,657,480,USA
158,Varun Mohanraj,636,808,792,480,1011,480,USA
159,Patrick Ponce,480,671,548,602,583,480,USA
160,Ryan Wu,480,811,694,703,818,480,Canada
161,Luke Garrett,724,816,596,480,564,480,USA
162,Juliette Sébastien,581,737,721,693,480,480,France
163,Tymon Kolasiński,530,480,591,570,506,480,Poland
164,Tymon Kolasiński,574,584,578,539,480,480,Poland
165,Max Park,625,480,522,591,615,480,USA
166,Max Park,567,514,480,585,531,480,USA
167,Caio Hideaki Sato,672,957,605,480,727,480,Brazil
168,Tymon Kolasiński,504,743,565,480,594,480,Poland
169,Philipp Weyer,481,643,548,626,751,481,Germany
170,Brian Johnson,481,736,785,837,736,481,USA
171,Brennen Lin,762,763,581,664,481,481,Canada
172,Aryan Chhabra,775,860,877,809,481,481,India
173,Tymon Kolasiński,481,567,678,592,580,481,Poland
174,Feliks Zemdegs,766,771,554,688,482,482,Australia
175,Max Park,482,620,602,567,545,482,USA
176,Brennen Lin,608,733,565,1010,482,482,Canada
177,Tymon Kolasiński,689,482,663,499,579,482,Poland
178,Max Park,482,568,553,506,556,482,USA
179,Max Park,727,571,602,482,600,482,USA
180,Cornelius Dieckmann,781,483,805,977,798,483,Germany
181,Sebastian Weyer,794,483,726,734,650,483,Germany
182,Brennen Lin,578,631,483,570,700,483,Canada
183,Myagmardorj Ulziijargal (Өлзийжаргал Мягмардорж),768,1223,484,720,625,484,Mongolia
184,Ruihang Xu (许瑞航),674,615,683,484,703,484,China
185,Max Park,484,570,657,617,586,484,USA
186,Feliks Zemdegs,717,558,732,738,485,485,Australia
187,Feliks Zemdegs,485,688,597,666,DNF,485,Australia
188,Tymon Kolasiński,485,513,574,679,621,485,Poland
189,Blake Thompson,855,486,1306,872,920,486,USA
190,Seung Hyuk Nahm (남승혁),598,486,788,595,757,486,Korea
191,Yiheng Wang (王艺衡),830,930,486,674,881,486,China
192,Tymon Kolasiński,722,571,486,529,819,486,Poland
193,Tymon Kolasiński,539,663,523,596,486,486,Poland
194,Linus Laurén,844,486,788,722,688,486,Finland
195,Max Park,597,600,654,486,552,486,USA
196,Tymon Kolasiński,486,591,635,641,572,486,Poland
197,Tymon Kolasiński,776,601,487,592,593,487,Poland
198,Max Park,487,692,538,616,525,487,USA
199,Danny SungIn Park,593,930,488,961,869,488,Korea
200,Yusheng Du (杜宇生),681,488,690,806,880,488,China
201,Yezhen Han (韩业臻),665,804,600,488,643,488,China
202,Tymon Kolasiński,488,561,539,513,779,488,Poland
203,Evan Liu,913,944,708,1120,488,488,USA
204,Max Park,488,527,567,531,861,488,USA
205,Antonie Paterakis,867,763,797,489,1041,489,Greece
206,Max Park,636,622,712,526,489,489,USA
207,Feliks Zemdegs,489,913,691,555,599,489,Australia
208,Ruihang Xu (许瑞航),694,552,603,489,561,489,China
209,Patrick Ponce,728,489,570,550,863,489,USA
210,Max Park,664,548,597,489,650,489,USA
211,Leo Borromeo,626,672,698,553,489,489,Philippines
212,Kevin Gerhardt,774,489,671,853,746,489,Germany
213,Max Park,636,499,562,489,711,489,USA
214,Luke Garrett,673,658,641,489,536,489,USA
215,Lucas Etter,1094,788,490,924,772,490,USA
216,Seung Hyuk Nahm (남승혁),647,832,612,490,670,490,Korea
217,Max Park,490,572,653,550,556,490,USA
218,Tymon Kolasiński,709,588,650,615,490,490,Poland
219,Tymon Kolasiński,547,564,785,490,750,490,Poland
220,Max Park,508,525,615,490,596,490,USA
221,Jerry Yao,773,618,490,663,829,490,USA
222,Tymon Kolasiński,650,492,619,604,490,490,Poland
223,Jayden McNeill,790,1153,1046,490,751,490,Australia
224,Jeriel James Thomas,774,621,696,490,934,490,Canada
225,Aryan Chhabra,641,491,845,762,774,491,India
226,Tymon Kolasiński,671,527,517,491,676,491,Poland
227,Juliette Sébastien,751,780,801,491,705,491,France
228,Max Park,601,491,548,631,505,491,USA
229,Max Park,626,491,599,531,521,491,USA
230,Max Park,673,609,491,625,636,491,USA
231,Luke Garrett,759,743,491,793,549,491,USA
232,Feliks Zemdegs,728,895,668,623,491,491,Australia
233,Luke Garrett,679,565,491,629,543,491,USA
234,Max Park,653,554,659,566,492,492,USA
235,Tanzer Balimtas,779,493,653,819,1017,493,USA
236,Tymon Kolasiński,523,493,654,584,669,493,Poland
237,Tymon Kolasiński,688,661,655,493,577,493,Poland
238,Matty Hiroto Inaba,619,493,531,771,726,493,USA
239,Patrick Ponce,493,594,680,626,820,493,USA
240,Luke Garrett,849,693,493,647,546,493,USA
241,Max Park,732,664,553,493,642,493,USA
242,Sameer Aggarwal,DNF,694,584,707,493,493,USA
243,Vicenzo Guerino Cecchini,533,570,493,1023,857,493,Brazil
244,Hyo-Min Seo (서효민),935,936,494,919,886,494,Korea
245,Kevin Gerhardt,494,716,901,601,769,494,Germany
246,Amos Nordman,1018,1023,494,981,1036,494,Finland
247,Christopher Yen,841,722,494,866,669,494,USA
248,Max Park,586,494,643,708,561,494,USA
249,Luke Garrett,781,548,710,644,494,494,USA
250,Luke Garrett,667,757,495,665,629,495,USA
251,Max Park,611,553,523,584,495,495,USA
252,Leo Borromeo,708,495,589,DNF,622,495,Philippines
253,Ryan Wu,495,915,991,758,887,495,Canada
254,Szymon Musiał,620,743,581,1065,495,495,Poland
255,Max Park,495,666,528,757,604,495,USA
256,Sameer Aggarwal,495,623,639,615,DNF,495,USA
257,Patrick Ponce,703,738,496,759,688,496,USA
258,Seung Hyuk Nahm (남승혁),496,794,673,778,856,496,Korea
259,Max Park,602,642,496,548,599,496,USA
260,Sebastian Weyer,691,759,590,496,718,496,Germany
261,Tymon Kolasiński,590,496,525,565,661,496,Poland
262,Tymon Kolasiński,496,515,670,638,734,496,Poland
263,Luke Garrett,564,637,635,638,496,496,USA
264,Tymon Kolasiński,597,599,592,496,562,496,Poland
265,Patrick Ponce,560,582,916,496,529,496,USA
266,Christopher Chi,1402,884,1098,1094,496,496,USA
267,Max Park,564,635,612,541,496,496,USA
268,Alexander Bashutkin,776,496,834,814,864,496,Russia
269,Jayden McNeill,809,497,770,1194,758,497,Australia
270,Feliks Zemdegs,566,497,665,607,664,497,Australia
271,Patrick Ponce,497,620,735,683,539,497,USA
272,Matěj Grohmann,717,767,834,751,497,497,Czech Republic
273,Sean Patrick Villanueva,615,619,498,643,736,498,Philippines
274,Ruihang Xu (许瑞航),611,498,607,625,616,498,China
275,Tymon Kolasiński,498,740,632,772,580,498,Poland
276,Luke Garrett,498,760,755,603,583,498,USA
277,Matty Hiroto Inaba,498,617,784,705,562,498,USA
278,Luke Garrett,498,DNF,784,680,610,498,USA
279,Jode Brewster,745,1035,498,708,520,498,Australia
280,Max Park,639,666,741,621,499,499,USA
281,Seung Hyuk Nahm (남승혁),792,825,499,835,703,499,Korea
282,Nicolás Sánchez,499,756,760,777,1056,499,USA
283,Luke Garrett,499,591,671,588,842,499,USA
284,Kajetan Opach,715,499,933,680,740,499,Poland
285,Kai-Wen Wang (王楷文),756,499,890,784,638,499,Taiwan
286,Tymon Kolasiński,500,780,572,499,598,499,Poland
287,Lorenzo Escobar Kraskouskaya,869,945,499,897,891,499,Spain
288,Matty Hiroto Inaba,840,881,502,653,499,499,USA
289,Philipp Weyer,1129,748,500,834,744,500,Germany
290,Luigi Soriano,1310,766,845,500,844,500,USA
291,Chris Mills,885,853,500,932,879,500,United Kingdom
292,Feliks Zemdegs,622,673,500,795,541,500,Australia
293,Ruihang Xu (许瑞航),677,500,833,694,653,500,China
294,Christopher Sun,500,713,791,679,757,500,USA
295,Jules Desjardin,677,758,1073,1184,501,501,France
296,Max Park,516,576,782,501,713,501,USA
297,Matty Hiroto Inaba,501,704,922,664,727,501,USA
298,Ruihang Xu (许瑞航),555,656,501,911,524,501,China
299,Max Park,518,596,624,501,623,501,USA
300,Zayn Khanani,823,737,799,866,501,501,USA
301,Tymon Kolasiński,592,518,572,501,562,501,Poland
302,Chris Mills,737,1056,593,501,991,501,United Kingdom
303,Luke Garrett,624,685,648,501,558,501,USA
304,Kim Roger Høyland Larsen,698,521,604,905,501,501,Norway
305,Jayden McNeill,634,683,1218,834,502,502,Australia
306,Tee Kai Yang,761,899,502,815,727,502,Malaysia
307,Tymon Kolasiński,753,529,645,603,502,502,Poland
308,Twan Dullemond,703,795,588,868,502,502,Netherlands
309,Twan Dullemond,502,657,648,598,762,502,Netherlands
310,James Alonso,851,737,851,502,791,502,United Kingdom
311,Jerry Yao,702,502,731,779,762,502,USA
312,Matty Hiroto Inaba,605,636,502,519,589,502,USA
313,Tymon Kolasiński,510,530,560,502,561,502,Poland
314,Matty Hiroto Inaba,502,658,578,520,686,502,USA
315,Bill Wang,758,907,924,502,708,502,Canada
316,Daniel Gutierrez,684,644,955,502,969,502,USA
317,Max Park,722,646,591,503,654,503,USA
318,Rasmus Stub Detlefsen,859,503,1096,812,1046,503,Denmark
319,Max Park,569,503,722,653,563,503,USA
320,Yiheng Wang (王艺衡),649,590,718,503,703,503,China
321,Tymon Kolasiński,503,531,645,567,582,503,Poland
322,Patrick Ponce,790,503,529,791,647,503,USA
323,Kai-Wen Wang (王楷文),503,918,584,684,721,503,Taiwan
324,Luke Garrett,579,684,610,674,503,503,USA
325,Patrick Ponce,636,710,678,760,503,503,USA
326,Patrick Ponce,948,832,751,504,691,504,USA
327,Ruihang Xu (许瑞航),577,641,515,588,504,504,China
328,Mika Smulders,845,726,606,770,504,504,Netherlands
329,Mats Valk,925,505,808,1002,684,505,Netherlands
330,Philipp Weyer,505,651,856,937,815,505,Germany
331,Feliks Zemdegs,505,592,702,680,653,505,Australia
332,Tymon Kolasiński,505,665,587,633,671,505,Poland
333,Quentin Rivault,921,1011,505,760,661,505,France
334,Tymon Kolasiński,600,505,683,624,633,505,Poland
335,Max Park,614,762,535,623,505,505,USA
336,Danny Sungin Park,635,DNF,901,505,540,505,USA
337,Dylan Miller,649,666,884,505,593,505,USA
338,Patrick Ponce,782,534,505,642,700,505,USA
339,Matty Hiroto Inaba,620,505,574,554,568,505,USA
340,Martin Vædele Egdal,940,792,776,854,506,506,Denmark
341,Kajetan Opach,829,701,506,691,864,506,Poland
342,Jerry Yao,506,1004,939,820,722,506,USA
343,Tommy Cherry,868,506,857,809,753,506,USA
344,Martin Vædele Egdal,691,506,658,808,788,506,Denmark
345,Matty Hiroto Inaba,668,701,789,595,506,506,USA
346,Tymon Kolasiński,534,581,606,548,507,507,Poland
347,Tymon Kolasiński,507,610,591,725,685,507,Poland
348,Tymon Kolasiński,649,795,735,589,507,507,Poland
349,Dylan Miller,507,752,786,646,595,507,USA
350,Luke Garrett,566,529,507,624,570,507,USA
351,Olaf Kuźmiński,699,507,594,564,617,507,Poland
352,Keaton Ellis,726,648,979,879,508,508,USA
353,Patrick Ponce,651,725,539,745,508,508,USA
354,Max Park,639,508,653,630,595,508,USA
355,Feliks Zemdegs,789,715,642,508,640,508,Australia
356,Patrick Ponce,859,612,508,822,937,508,USA
357,Max Siauw,990,806,701,644,508,508,USA
358,Juliette Sébastien,808,847,688,779,508,508,France
359,Dylan Miller,957,508,782,654,717,508,USA
360,Feliks Zemdegs,680,544,595,696,508,508,Australia
361,Max Siauw,508,803,888,724,689,508,USA
362,Mantas Urbanavičius,953,660,763,728,508,508,Lithuania
363,Ole Meindersma,736,916,788,508,950,508,Netherlands
364,Tymon Kolasiński,595,667,576,508,931,508,Poland
365,Luke Garrett,508,725,712,665,525,508,USA
366,Kajetan Opach,882,787,744,750,508,508,Poland
367,Tymon Kolasiński,591,527,565,508,569,508,Poland
368,Feliks Zemdegs,608,943,1493,508,674,508,Australia
369,Max Siauw,767,717,508,634,705,508,USA
370,Matty Hiroto Inaba,508,629,520,623,660,508,USA
371,Tymon Kolasiński,563,508,524,567,735,508,Poland
372,Keaton Ellis,509,931,889,959,833,509,USA
373,Brenton Angelo Lo Wong,509,843,814,964,681,509,Philippines
374,Tymon Kolasiński,616,540,676,573,509,509,Poland
375,Riley Dexter,612,680,754,990,509,509,Australia
376,Max Park,509,580,644,713,578,509,USA
377,Alexandre Carlier,509,1042,683,866,838,509,France
378,Max Park,632,660,571,509,590,509,USA
379,Danny Sungin Park,780,509,788,962,825,509,USA
380,Asher Kim-Magierek,724,634,658,820,509,509,USA
381,Max Park,647,509,528,523,740,509,USA
382,Krish Shah-Nathwani,900,689,509,737,660,509,USA
383,Antoine Cantin,740,510,840,614,819,510,Canada
384,Philipp Weyer,722,653,510,657,787,510,Germany
385,Sebastian Weyer,687,658,660,752,510,510,Germany
386,Max Park,615,599,510,581,624,510,USA
387,Brian Johnson,750,627,510,807,754,510,USA
388,Matty Hiroto Inaba,752,652,510,607,521,510,USA
389,Magdalena Pabisz,967,867,831,738,510,510,Poland
390,Patrick Ponce,857,510,769,710,758,510,USA
391,Leo Borromeo,790,510,595,539,510,510,Philippines
392,Kyle Santucci,858,510,687,701,798,510,Canada
393,Feliks Zemdegs,667,510,531,575,693,510,Australia
394,Matty Hiroto Inaba,686,620,532,567,510,510,USA
395,Blake Thompson,769,815,926,511,978,511,USA
396,Tomoya Firman,868,839,779,511,770,511,Australia
397,Seung Hyuk Nahm (남승혁),722,605,782,729,511,511,Korea
398,Feliks Zemdegs,889,579,520,511,742,511,Australia
399,Tymon Kolasiński,618,692,511,657,520,511,Poland
400,Kerry Creech,868,931,870,511,782,511,USA
401,Max Park,511,609,555,514,566,511,USA
402,Jung Hwan Lee,954,739,1141,1032,512,512,Korea
403,Jay Benedict Alfaras,512,735,776,831,717,512,Philippines
404,Elian Beguec,512,912,930,858,886,512,France
405,Leo Borromeo,689,512,535,746,688,512,Philippines
406,Łukasz Burliga,1014,512,728,679,698,512,Poland
407,Luke Garrett,512,917,995,513,733,512,USA
408,Martin Vædele Egdal,772,637,512,734,898,512,Denmark
409,Tymon Kolasiński,597,512,605,586,568,512,Poland
410,Brennen Lin,512,780,745,936,716,512,Canada
411,Andrew Y. Feng,850,700,512,732,564,512,USA
412,Mats Valk,513,899,693,991,711,513,Netherlands
413,Christopher Yen,817,703,807,513,743,513,USA
414,Tymon Kolasiński,537,575,517,513,671,513,Poland
415,Luke Garrett,761,586,581,735,513,513,USA
416,Feliks Zemdegs,513,573,708,589,DNF,513,Australia
417,Brenton Angelo Lo Wong,624,854,513,733,683,513,Philippines
418,Luke Garrett,604,589,513,549,579,513,USA
419,Tymon Kolasiński,514,591,592,617,644,514,Poland
420,Max Park,629,514,574,678,696,514,USA
421,Max Park,679,544,633,587,514,514,USA
422,Luke Garrett,768,568,514,549,830,514,USA
423,Ryan Wu,872,514,780,1127,916,514,Canada
424,Matty Hiroto Inaba,662,637,514,563,560,514,USA
425,Aaron Huynh,886,643,753,803,514,514,USA
426,Max Park,601,568,678,514,681,514,USA
427,Herman Westerlund Kalland,984,615,603,659,514,514,Norway
428,Ng Yong Teng,688,914,757,514,1023,514,Singapore
429,Max Park,515,687,608,643,653,515,USA
430,Lucas Etter,667,515,775,722,744,515,USA
431,Feliks Zemdegs,656,751,515,625,629,515,Australia
432,Luke Garrett,595,844,752,611,515,515,USA
433,Tymon Kolasiński,515,551,562,517,565,515,Poland
434,Brian Johnson,636,547,515,589,721,515,USA
435,Max Park,912,516,898,821,622,516,USA
436,Danny SungIn Park,625,663,736,516,1007,516,Korea
437,Yezhen Han (韩业臻),571,701,617,516,831,516,China
438,Alexander Bashutkin,DNF,815,797,707,516,516,Russia
439,Brian Johnson,516,614,644,812,582,516,USA
440,Kim Roger Høyland Larsen,635,562,565,516,744,516,Norway
441,Dylan Miller,770,692,650,516,634,516,USA
442,Brian Johnson,683,670,516,808,609,516,USA
443,Tymon Kolasiński,627,516,658,673,740,516,Poland
444,Max Park,660,516,558,623,577,516,USA
445,Elvin Thorsen,604,1073,715,516,1189,516,Sweden
446,Feliks Zemdegs,516,630,645,680,703,516,Australia
447,Twan Dullemond,991,516,873,764,866,516,Netherlands
448,Patrick Ponce,516,1578,654,584,729,516,USA
449,Firstian Fushada (符逢城),516,747,687,591,806,516,Indonesia
450,Max Park,517,643,626,559,653,517,USA
451,Ruihang Xu (许瑞航),646,580,723,517,562,517,China
452,Feliks Zemdegs,735,517,625,767,650,517,Australia
453,Max Siauw,517,686,806,745,609,517,USA
454,Mantas Urbanavičius,729,517,707,663,789,517,Lithuania
455,Max Park,542,628,568,517,533,517,USA
456,Matty Hiroto Inaba,517,575,840,572,764,517,USA
457,Luke Garrett,519,517,703,630,644,517,USA
458,Feliks Zemdegs,518,703,686,753,694,518,Australia
459,Patrick Ponce,678,907,683,518,594,518,USA
460,Lukas Shelley,719,1039,783,710,518,518,Denmark
461,Carter Kucala,518,832,728,639,842,518,USA
462,Carson Widjaja,718,518,849,973,734,518,USA
463,Morgan Yeh,848,652,773,809,518,518,Canada
464,Luke Garrett,659,635,914,839,518,518,USA
465,Max Siauw,745,589,518,946,713,518,USA
466,Caio Hideaki Sato,684,616,518,673,635,518,Brazil
467,Rasmus Stub Detlefsen,816,518,669,930,969,518,Denmark
468,Kai-Wen Wang (王楷文),1115,783,772,769,519,519,Taiwan
469,Mats Valk,519,721,921,643,702,519,Netherlands
470,Alexandre Carlier,824,DNF,824,1207,519,519,France
471,Adrien Auvray Matyn,627,745,787,519,686,519,New Zealand
472,Tanish Dhiman,969,802,672,519,659,519,Germany
473,Patrick Ponce,907,709,622,604,519,519,USA
474,Luke Griesser,627,626,555,519,825,519,USA
475,Alexandre Carlier,680,629,519,887,957,519,France
476,Tymon Kolasiński,587,519,544,581,683,519,Poland
477,Ben Zhao,529,693,885,519,781,519,USA
478,Max Siauw,561,519,775,624,717,519,USA
479,Timothy Castle,519,716,1096,810,783,519,USA
480,Tyler Robinson,831,773,519,965,933,519,USA
481,Feliks Zemdegs,751,674,520,735,642,520,Australia
482,Feliks Zemdegs,761,644,560,731,520,520,Australia
483,Sebastian Weyer,691,798,622,619,520,520,Germany
484,Max Park,796,638,520,739,679,520,USA
485,Kymberlyn Calderon,751,959,854,875,520,520,USA
486,Philipp Weyer,686,698,520,650,603,520,Germany
487,Patrick Ponce,639,520,762,711,688,520,USA
488,Ruihang Xu (许瑞航),727,1856,520,620,648,520,China
489,Luke Garrett,594,520,541,743,669,520,USA
490,Ben Baron,818,829,712,520,681,520,Israel
491,Luke Garrett,530,713,771,520,667,520,USA
492,Birk Joench-Clausen,788,520,DNF,697,842,520,Denmark
493,Nicolás Sánchez,520,1159,901,736,670,520,USA
494,Luke Garrett,549,633,617,520,560,520,USA
495,Antonie Paterakis,706,670,733,735,520,520,Netherlands
496,Max Park,624,560,520,548,603,520,USA
497,Nicolás Sánchez,520,760,926,861,764,520,USA
498,Twan Dullemond,875,520,574,894,681,520,Netherlands
499,Martin Vædele Egdal,865,521,690,750,752,521,Denmark
500,Max Siauw,774,713,521,735,1160,521,USA
501,Luke Garrett,745,675,629,699,521,521,USA
502,Max Park,534,521,532,606,576,521,USA
503,Max Park,521,538,564,527,632,521,USA
504,Luke Garrett,620,521,617,780,616,521,USA
505,Bryan Eng,1159,816,521,729,766,521,Australia
506,Feliks Zemdegs,587,761,620,582,521,521,Australia
507,Riley Dexter,711,684,795,1003,521,521,Australia
508,Tymon Kolasiński,564,521,596,674,758,521,Poland
509,Max Park,535,521,536,621,687,521,USA
